,a,b,c,,,,,,,
32,191.3965688,0.083810233,539.6548699,,,0.00000033000000000000000,0.083810233,,0.00000033000000000000000,6.931717233
33,198.1821707,0.0895359,537.1554509,,,0.00000034000000000000000,0.0895359,,0.00000034000000000000000,6.168704377
34,182.890311,0.09331569,537.6552695,,,0.00000035000000000000000,0.09331569,,0.00000035000000000000000,5.716311508
35,188.3475128,0.093679368,537.3553138,,,0.00000036000000000000000,0.093679368,,0.00000036000000000000000,5.674709103
36,188.3953902,0.098910912,536.5417977,,,0.00000037000000000000000,0.098910912,,0.00000037000000000000000,5.11010794
37,188.6496285,0.096586105,536.0892961,,,0.00000038000000000000000,0.096586105,,0.00000038000000000000000,5.353456075
38,190.8017277,0.10109672,537.1338873,,,0.00000039000000000000000,0.10109672,,0.00000039000000000000000,4.891517704
39,187.5610196,0.095805528,534.6600308,,,0.00000040000000000000000,0.095805528,,0.00000040000000000000000,5.437811059
40,198.4233659,0.103683119,533.2021281,,,0.00000041000000000000000,0.103683119,,0.00000041000000000000000,4.644771574
41,183.679825,0.079196938,530.1273782,,,0.00000042000000000000000,0.079196938,,0.00000042000000000000000,7.626750874
42,181.2882471,0.10079916,535.0264943,,,0.00000043000000000000000,0.10079916,,0.00000043000000000000000,4.920717619
43,184.2949353,0.101493001,530.7323282,,,0.00000044000000000000000,0.101493001,,0.00000044000000000000000,4.852896186
44,184.8979379,0.098626307,529.9934628,,,0.00000045000000000000000,0.098626307,,0.00000045000000000000000,5.139282625
45,184.1684328,0.112016151,532.0842429,,,0.00000046000000000000000,0.112016151,,0.00000046000000000000000,3.927284059
46,180.8064243,0.10186293,532.4730136,,,0.00000047000000000000000,0.10186293,,0.00000047000000000000000,4.81711402
47,185.3938872,0.111281338,530.3600201,,,0.00000048000000000000000,0.111281338,,0.00000048000000000000000,3.986232685
48,180.7092062,0.108651085,531.1813876,,,0.00000049000000000000000,0.108651085,,0.00000049000000000000000,4.203773729
49,175.2401056,0.088025588,528.2444704,,,0.00000050000000000000000,0.088025588,,0.00000050000000000000000,6.360333133
50,177.6556856,0.109990345,529.0501239,,,0.00000051000000000000000,0.109990345,,0.00000051000000000000000,4.091707117
51,181.2049146,0.118290463,530.5525913,,,0.00000052000000000000000,0.118290463,,0.00000052000000000000000,3.453766894
52,180.1599058,0.120675708,528.529957,,,0.00000053000000000000000,0.120675708,,0.00000053000000000000000,3.286671933
