n,time,displacement,max_or_min
339,588.3962819,46.94,1
340,590.2477185,47.32,1
341,592.1295835,47.42,1
342,594.0687525,47.73,1
343,595.936675,46.75,1
344,596.0073635,46.75,1
345,597.8834447,47.16,1
346,599.725857,46.75,1
347,601.5997605,46.65,1
348,603.5447149,47.22,1
349,605.3839435,46.68,1
350,605.5103881,46.68,1
351,607.2382006,46.65,1
352,607.3779556,46.65,1
353,609.3146791,46.7,1
354,611.1800193,47.16,1
355,612.96216,46.84,1
356,614.8931288,47.04,1
357,616.7712921,46.89,1
358,618.696969,47.37,1
359,620.5672597,46.49,1
360,622.43383,46.91,1
361,624.3009834,47.04,1
362,626.2485961,46.44,1
363,628.060363,47.27,1
364,630.0272998,46.7,1
365,631.8653302,46.43,1
366,633.762485,46.63,1
367,635.7338502,46.75,1
368,637.5983323,46.27,1
369,639.5430211,46.55,1
370,641.3934228,46.53,1
371,643.2284054,46.27,1
372,645.1766033,46.37,1
373,647.02887,46.53,1
374,648.9023291,46.48,1
375,650.7599296,46.08,1
376,652.6253521,46.48,1
377,654.5735807,46.37,1
378,656.5624766,46.03,1
379,658.3689744,46.37,1
380,660.2425751,46.32,1
381,662.2376925,46.22,1
382,664.0564389,46.01,1
383,665.920984,46.22,1
384,667.8714165,46.34,1
385,669.7535288,45.88,1
386,671.6003529,46.17,1
387,673.5554942,46.12,1
388,675.4182929,46.17,1
389,677.3612449,46.48,1
390,679.2176809,46.53,1
391,681.0602249,46.22,1
392,682.9330789,45.6,1
393,684.88399,46.12,1
394,686.7480547,46.01,1
395,688.6182877,45.55,1
396,690.5442256,46.08,1
397,692.5077917,46.01,1
398,694.2404436,45.46,1
399,696.0963752,45.55,1
400,698.0698318,45.86,1
401,700.0517485,45.76,1
402,701.9325656,45.55,1
403,703.7316329,45.81,1
404,705.6720728,45.4,1
405,707.5438332,45.4,1
406,709.3912486,45.81,1
407,711.3716781,45.65,1
408,713.2491457,45.45,1
409,715.1155235,45.65,1
410,716.9411213,45.45,1
411,718.9299783,45.29,1
412,720.8847548,45.96,1
413,722.72877,45.55,1
414,724.5741462,45.29,1
415,726.5474879,45.4,1
416,728.3613638,45.6,1
417,730.2457589,45.96,1
418,732.2280876,45.46,1
419,734.0856563,45.45,1
420,735.9446899,45.14,1
421,735.9887878,45.14,1
422,737.7668173,44.93,1
423,739.6418216,45.19,1
424,741.6936747,45.03,1
425,743.5363488,45,1
426,745.418903,45.34,1
427,747.2431392,45.86,1
428,749.2423591,45.19,1
429,750.9544093,45.03,1
430,752.9448928,45.24,1
431,754.8619716,44.88,1
432,756.737251,45.29,1
433,758.6122681,45.19,1
434,760.5479626,45.09,1
435,762.395188,44.78,1
436,764.2571964,44.83,1
437,766.0964867,45.4,1
438,768.0691649,44.85,1
439,769.9564132,45.03,1
440,771.8652725,45.14,1
441,773.7258102,44.67,1
442,775.610054,45.14,1
443,777.5393106,44.98,1
444,779.3935036,44.67,1
445,781.2609386,44.52,1
446,781.3941542,44.52,1
447,783.2550601,45.34,1
448,785.1636242,44.57,1
449,787.0480918,44.78,1
450,788.873527,44.57,1
451,790.7518594,44.83,1
452,792.6008818,44.47,1
