n,time,displacement,max_or_min
118,211.2704329,25.02,1
119,213.1156141,24.78,1
120,215.0741505,25.09,1
121,217.0095912,25.09,1
122,218.8302554,25.5,1
123,220.702057,24.5,1
124,222.5875117,24.86,1
125,224.5411078,25.6,1
126,226.4012119,24.83,1
127,228.1955644,24.47,1
128,230.1225463,24.88,1
129,231.9841787,25.19,1
130,233.9159891,24.83,1
131,235.8660542,24.19,1
132,237.6951152,24.76,1
133,239.5328802,24.88,1
134,241.4352874,24.73,1
135,243.3839346,24.66,1
136,245.2113363,24.97,1
137,247.1851143,24.57,1
138,249.0952903,24.31,1
139,250.936468,24.04,1
140,252.7870323,24.47,1
141,254.7025186,24.83,1
142,256.5305225,24.42,1
143,258.5887465,24.05,1
144,260.4223348,24.31,1
145,262.2627491,24.73,1
146,264.1891645,24.31,1
147,265.9997839,23.93,1
148,267.9629423,24.14,1
149,269.793209,24.14,1
150,271.7011065,24.26,1
151,273.574201,23.78,1
152,275.505782,24.04,1
153,277.3098413,24.42,1
154,279.2463011,24.14,1
155,281.0777127,24,1
156,283.0291499,23.93,1
157,283.1442267,23.93,1
158,284.9679462,24.24,1
159,286.7947632,24.04,1
160,288.7138008,23.54,1
161,290.4847123,23.88,1
162,290.6505424,23.93,1
163,292.4884683,23.88,1
164,294.3439013,23.49,1
165,296.1629757,23.73,1
166,298.2120728,23.93,1
167,299.9274453,23.93,1
168,301.9604873,23.54,1
169,303.8029891,23.8,1
170,305.6745335,24.04,1
171,307.5694784,23.75,1
172,309.4242851,23.26,1
173,311.3521615,23.69,1
174,313.1620404,23.88,1
175,315.1974665,23.73,1
176,316.9616181,23.11,1
177,318.9019655,23.63,1
178,320.71304,23.42,1
179,320.8235711,23.42,1
180,322.6427855,23.47,1
181,324.5900375,23.11,1
182,326.4322802,23.42,1
183,328.2573654,23.68,1
184,330.2130994,23.88,1
185,332.021568,23.11,1
186,333.9876036,23.37,1
187,335.7827116,23.42,1
188,335.8938824,23.42,1
189,336.0038258,23.42,1
190,337.8380233,23.68,1
191,339.8182005,23.06,1
192,341.5223621,23.28,1
193,343.4733137,23.21,1
194,345.3636579,23.26,1
195,347.2256137,22.9,1
196,349.0458518,23.57,1
197,350.9752707,23.68,1
198,352.910365,23.57,1
199,354.7554609,22.8,1
200,356.695707,23.11,1
201,358.5458518,23.57,1
202,360.4611894,23.63,1
203,362.4135875,22.65,1
204,364.2410985,23.16,1
205,366.0669734,23.06,1
206,368.0292183,23.01,1
207,369.9221806,22.65,1
208,371.6687435,23.01,1
209,373.6248971,23.37,1
210,375.5541035,23.08,1
211,377.482288,22.59,1
212,379.1911561,22.96,1
213,379.2995583,22.96,1
214,381.258283,22.85,1
215,381.3853773,22.85,1
216,383.0750021,23.44,1
217,385.1035389,22.49,1
218,386.8489095,22.9,1
219,388.6869232,23.11,1
220,390.6127216,22.8,1
221,392.6575209,22.56,1
222,394.5276035,23.11,1
223,396.3571466,22.85,1
224,398.1811332,22.8,1
225,398.2898571,22.8,1
226,399.979519,22.49,1
227,402.0266129,22.75,1
228,403.9645902,22.85,1
229,405.8071903,22.34,1
230,407.6243941,22.7,1
231,409.5710498,22.7,1
232,411.4020897,22.7,1
233,413.3660692,22.65,1
234,415.2646965,22.59,1
235,417.1066863,22.59,1
236,418.9972586,22.54,1
237,420.8709897,22.7,1
238,421.8110024,11.22,1
239,422.8065926,22.13,1
240,424.6869635,22.65,1
241,426.5201215,22.54,1
242,426.5805644,22.54,1
243,428.4461586,22.54,1
244,430.2642769,22.96,1
245,432.1897813,22.9,1
246,434.1206545,22.54,1
247,435.9690238,22.59,1
248,437.90897,22.54,1
249,439.7281252,22.49,1
250,441.6911079,22.39,1
251,443.4964768,22.49,1
252,445.4516701,22.39,1
253,447.2989584,22.44,1
254,449.2323872,22.9,1
255,451.1814374,22.35,1
256,452.9695019,22.44,1
257,454.8089179,22.34,1
258,455.7477299,12.46,1
259,456.7626471,22.34,1
260,458.7143089,22.39,1
261,460.5351995,22.75,1
262,462.4601699,22.34,1
263,464.1918844,22.44,1
264,466.2415432,22.23,1
265,468.0960039,22.34,1
266,469.9198674,22.59,1
267,471.844896,22.23,1
268,473.7620095,22.34,1
269,475.6329223,22.22,1
270,477.5438892,22.7,1
271,478.4785613,11.99,1
272,479.3742069,22.23,1
273,481.445012,21.92,1
274,483.1775032,22.18,1
275,485.0702242,22.23,1
276,486.9013413,22.18,1
277,487.0128764,22.18,1
278,488.8547129,22.18,1
279,490.7981655,22.18,1
280,492.7284917,22.29,1
281,494.5610012,22.18,1
282,495.459819,11.68,1
283,496.5099651,21.92,1
284,498.3368713,22.59,1
285,500.160066,22.13,1
286,502.1315793,22.13,1
287,503.827593,21.67,1
288,504.0509047,22.03,1
289,505.766159,22.34,1
290,507.7361547,22.44,1
291,509.6762649,22.13,1
292,511.4764351,22.08,1
293,513.4331485,22.08,1
294,515.2493805,21.98,1
295,515.3568655,21.98,1
296,517.1847927,22.08,1
297,519.1327828,22.03,1
298,520.9398397,21.91,1
299,522.8714744,21.98,1
300,524.765664,22.03,1
301,526.6869403,21.56,1
302,528.478661,22.39,1
303,530.4501959,21.92,1
304,530.5640511,21.92,1
305,532.1654784,21.92,1
306,532.388132,21.82,1
307,534.0906536,21.77,1
308,535.1472086,11.99,1
309,536.1337513,22.25,1
310,537.961471,22.34,1
311,539.8133646,21.87,1
