,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time
29,29,29.0,62.56,3.150071070966012,shortpend_0.01057_2_data.csv,,54.42654616
30,30,30.0,62.92,3.165378974181531,shortpend_0.01057_2_data.csv,,56.28899986
31,31,31.0,62.59,3.1513557178966813,shortpend_0.01057_2_data.csv,,58.32428581
0,6,6.0,67.78,3.4891497433254584,0.10582_data (1).csv,,4.8263717680000005
1,7,7.0,65.21,3.407447246607886,0.10582_data (1).csv,,6.7109483270000005
2,8,8.0,63.25,3.3403173364204615,0.10582_data (1).csv,,8.648223975
3,9,9.0,60.93,3.254555008166042,0.10582_data (1).csv,,10.53760538
4,10,10.0,59.5,3.1977781491484825,0.10582_data (1).csv,,12.45524917
5,11,11.0,57.85,3.127991492193119,0.10582_data (1).csv,,14.42348156
0,3,3.0,67.16,3.465126322036717,0.10582_data (2).csv,,3.4908900000000003
1,4,4.0,64.64,3.383050361325149,0.10582_data (2).csv,,5.43159
2,5,5.0,62.63,3.3123843594037403,0.10582_data (2).csv,,7.2904399999999985
3,6,6.0,60.76,3.2418303174533185,0.10582_data (2).csv,,9.25584
4,7,7.0,59.83,3.204797158287368,0.10582_data (2).csv,,11.10088
5,8,8.0,57.92,3.1241474476149302,0.10582_data (2).csv,,13.07526
0,5,5.0,67.46,3.4722780506306794,0.10582_data (3).csv,,3.5037199999999995
1,6,6.0,63.95,3.3568983430279578,0.10582_data (3).csv,,5.4569199999999976
2,7,7.0,62.18,3.2932422072887486,0.10582_data (3).csv,,7.35399
3,8,8.0,60.24,3.2184771462685173,0.10582_data (3).csv,,9.31048
4,9,9.0,58.63,3.1518824539705905,0.10582_data (3).csv,,11.12393
5,10,10.0,58.35,3.1398341336110893,0.10582_data (3).csv,,13.08136
0,3,3.0,67.84,3.4847142795280743,0.10582_data (4).csv,,2.95797
1,4,4.0,64.73,3.384495598341873,0.10582_data (4).csv,,4.82078
2,5,5.0,62.92,3.32118355717881,0.10582_data (4).csv,,6.81394
3,6,6.0,61.37,3.2635855820043953,0.10582_data (4).csv,,8.616060000000001
4,7,7.0,60.33,3.2229916450898184,0.10582_data (4).csv,,10.61881
5,8,8.0,57.96,3.1238223441399926,0.10582_data (4).csv,,12.61512
6,9,9.0,56.31,3.0484721296038537,0.10582_data (4).csv,,14.434439999999999
0,0,0.0,61.6,3.2852675715136064,0.21164_data (1).csv,,1.4104700000000001
1,1,1.0,57.35,3.1120089233780917,0.21164_data (1).csv,,3.3612800000000003
2,2,2.0,53.3,2.9132270106441984,0.21164_data (1).csv,,5.3329900000000015
3,3,3.0,50.62,2.75595945893934,0.21164_data (1).csv,,7.29493
4,4,4.0,49.38,2.6738818437984846,0.21164_data (1).csv,,9.1245
5,5,5.0,47.97,2.571553030861149,0.21164_data (1).csv,,11.16602
6,6,6.0,46.43,2.4463504747651768,0.21164_data (1).csv,,13.05015
0,0,0.0,59.67,3.213161656009872,0.21164_data (2).csv,,1.10341
1,1,1.0,56.46,3.0748924295310167,0.21164_data (2).csv,,3.07479
2,2,2.0,52.94,2.897433054203413,0.21164_data (2).csv,,5.04261
3,3,3.0,50.46,2.750314556444068,0.21164_data (2).csv,,6.99748
4,4,4.0,48.85,2.6417361062598297,0.21164_data (2).csv,,8.95223
5,5,5.0,48.13,2.5890829507015,0.21164_data (2).csv,,10.799439999999999
6,6,6.0,46.32,2.4430036153226813,0.21164_data (2).csv,,12.734960000000001
7,7,7.0,45.12,2.332876941910309,0.21164_data (2).csv,,14.71679
0,0,0.0,60.76,3.2468459094766886,0.21164_data (3).csv,,0.92819
1,1,1.0,57.18,3.096894523840348,0.21164_data (3).csv,,2.8507599999999997
2,2,2.0,53.71,2.926335195416085,0.21164_data (3).csv,,4.83585
3,3,3.0,51.13,2.7775217224967803,0.21164_data (3).csv,,6.76686
4,4,4.0,49.47,2.668555311737642,0.21164_data (3).csv,,8.766869999999999
5,5,5.0,47.51,2.522453125693676,0.21164_data (3).csv,,10.6978
6,6,6.0,46.1,2.4023510583481564,0.21164_data (3).csv,,12.56573
7,7,7.0,45.74,2.369226682434093,0.21164_data (3).csv,,14.50279
0,4,4.0,60.91,3.2523396470796873,0.21164_data (4).csv,,2.06851
1,5,5.0,56.87,3.0824030066380126,0.21164_data (4).csv,,4.04366
2,6,6.0,53.83,2.9322998526348902,0.21164_data (4).csv,,5.97139
3,7,7.0,51.34,2.789983480717375,0.21164_data (4).csv,,7.974589999999999
4,8,8.0,49.38,2.6617095940435287,0.21164_data (4).csv,,9.900730000000001
5,9,9.0,47.77,2.542448159242636,0.21164_data (4).csv,,11.84341
6,10,10.0,47.04,2.4833012662860696,0.21164_data (4).csv,,13.794970000000001
0,4,4.0,59.73,3.288527877844883,0.31746_data (1).csv,,1.9658900000000001
1,5,5.0,53.4,3.0191253471583552,0.31746_data (1).csv,,4.034
2,6,6.0,49.67,2.8180027623718082,0.31746_data (1).csv,,5.95695
3,7,7.0,46.15,2.5819862294554867,0.31746_data (1).csv,,7.89031
4,8,8.0,44.04,2.4081494956811302,0.31746_data (1).csv,,9.98208
5,9,9.0,42.47,2.255847380222728,0.31746_data (1).csv,,11.91639
6,10,10.0,41.25,2.119068032290824,0.31746_data (1).csv,,13.909429999999999
0,2,2.0,59.83,3.291236775963552,0.31746_data (2).csv,,1.76585
1,3,3.0,53.2,3.007961332990768,0.31746_data (2).csv,,3.7231099999999997
2,4,4.0,49.47,2.8043346214859537,0.31746_data (2).csv,,5.79031
3,5,5.0,46.32,2.5927203640829903,0.31746_data (2).csv,,7.740239999999999
