,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time
3,6,6.0,43.8,2.2206068954080935,0.42328_data (1).csv,,8.15477
4,7,7.0,41.46,1.9275891176042823,0.42328_data (1).csv,,10.07917
5,8,8.0,41.46,1.9275891176042823,0.42328_data (1).csv,,10.20831
6,9,9.0,40.89,1.8410130892677703,0.42328_data (1).csv,,12.17375
7,10,10.0,39.91,1.6720221092508505,0.42328_data (1).csv,,14.10909
8,11,11.0,39.91,1.6720221092508505,0.42328_data (1).csv,,14.23889
0,0,0.0,59.78,3.2261041481566752,0.42328_data (2).csv,,0.8320200000000001
1,1,1.0,51.34,2.8178824695677838,0.42328_data (2).csv,,2.8936900000000003
2,2,2.0,46.94,2.51295644729912,0.42328_data (2).csv,,4.95348
3,3,3.0,43.52,2.1884487114816213,0.42328_data (2).csv,,6.90212
4,4,4.0,43.42,2.1771763668028408,0.42328_data (2).csv,,7.17841
5,5,5.0,42.29,2.0400979806787123,0.42328_data (2).csv,,8.96765
6,6,6.0,40.07,1.6995277201225338,0.42328_data (2).csv,,10.96221
7,7,7.0,40.33,1.7459533326249217,0.42328_data (2).csv,,13.09941
8,8,8.0,38.87,1.4519329254813451,0.42328_data (2).csv,,14.830929999999999
0,0,0.0,58.33,3.1587771952433163,0.42328_data (3).csv,,1.03509
1,1,1.0,51.24,2.8004343653285564,0.42328_data (3).csv,,3.16487
2,2,2.0,46.89,2.4933534835506803,0.42328_data (3).csv,,5.17566
3,3,3.0,43.26,2.136741974739302,0.42328_data (3).csv,,7.2081
4,4,4.0,41.67,1.9288789824533863,0.42328_data (3).csv,,9.26173
5,5,5.0,40.84,1.8003543120288017,0.42328_data (3).csv,,11.23898
6,6,6.0,39.74,1.5997493913302294,0.42328_data (3).csv,,13.0654
7,7,7.0,39.85,1.6217204339028088,0.42328_data (3).csv,,13.24862
0,0,0.0,60.65,3.2521695109803668,0.42328_data (4).csv,,1.01165
1,1,1.0,51.96,2.8423685470821733,0.42328_data (4).csv,,3.09615
2,2,2.0,46.84,2.487931493785191,0.42328_data (4).csv,,5.00025
3,3,3.0,46.84,2.487931493785191,0.42328_data (4).csv,,5.1509800000000014
4,4,4.0,43.78,2.1945936841751577,0.42328_data (4).csv,,7.0788600000000015
5,5,5.0,41.77,1.9410918570572493,0.42328_data (4).csv,,9.162939999999999
6,6,6.0,41.05,1.8319977864735664,0.42328_data (4).csv,,11.07038
7,7,7.0,40.07,1.6613381080949556,0.42328_data (4).csv,,13.1448
0,2,2.0,57.54,3.126317565068496,0.5291_data (1).csv,,1.8252599999999999
1,3,3.0,47.92,2.5779341125599085,0.5291_data (1).csv,,3.8940099999999997
2,4,4.0,43.37,2.154073773739132,0.5291_data (1).csv,,5.91817
3,5,5.0,41.86,1.9614885306802023,0.5291_data (1).csv,,8.02489
4,6,6.0,39.81,1.6213472143941736,0.5291_data (1).csv,,10.03228
5,7,7.0,38.56,1.3376035983332266,0.5291_data (1).csv,,12.02179
6,8,8.0,38.56,1.3376035983332266,0.5291_data (1).csv,,12.08675
7,10,10.0,37.89,1.1441917485715272,0.5291_data (1).csv,,14.0412
0,0,0.0,57.03,3.1141808675832836,0.5291_data (2).csv,,1.3939
1,1,1.0,48.23,2.618488669622605,0.5291_data (2).csv,,3.5943300000000002
2,2,2.0,43.57,2.2033148878967967,0.5291_data (2).csv,,5.53785
3,3,3.0,41.0,1.869488741107644,0.5291_data (2).csv,,7.6727300000000005
4,4,4.0,40.36,1.765583181382815,0.5291_data (2).csv,,9.62515
5,5,5.0,38.87,1.4713200288670234,0.5291_data (2).csv,,11.720880000000001
6,6,6.0,38.92,1.4827357299535135,0.5291_data (2).csv,,13.770520000000001
0,0,0.0,56.72,3.096529841326673,0.5291_data (3).csv,,1.2491700000000001
1,1,1.0,48.28,2.6160119828855244,0.5291_data (3).csv,,3.4316800000000005
2,2,2.0,44.31,2.2732648621635754,0.5291_data (3).csv,,5.48928
3,3,3.0,41.51,1.9331222119115397,0.5291_data (3).csv,,7.5492
4,4,4.0,39.23,1.5327845673745135,0.5291_data (3).csv,,9.3588
5,5,5.0,39.33,1.5541480883784622,0.5291_data (3).csv,,9.56831
6,6,6.0,38.45,1.3483469725426274,0.5291_data (3).csv,,11.58281
7,7,7.0,38.45,1.3483469725426274,0.5291_data (3).csv,,13.602479999999998
0,6,6.0,55.74,3.0974736517718666,0.63491_data (1).csv,,3.8248
1,7,7.0,46.07,2.5234815058172337,0.63491_data (1).csv,,5.8800300000000005
2,8,8.0,41.2,2.0284037811449003,0.63491_data (1).csv,,8.06259
3,9,9.0,39.12,1.7087296653243862,0.63491_data (1).csv,,10.12964
4,10,10.0,38.04,1.491091736966385,0.63491_data (1).csv,,12.187619999999999
5,11,11.0,37.16,1.2703059874964542,0.63491_data (1).csv,,14.313020000000002
0,2,2.0,55.76,3.10384339815598,0.63491_data (2).csv,,4.04587
1,3,3.0,46.17,2.5410846161480336,0.63491_data (2).csv,,6.21264
2,4,4.0,41.99,2.1416450349578606,0.63491_data (2).csv,,8.35829
3,5,5.0,39.43,1.783967693289105,0.63491_data (2).csv,,10.55756
4,6,6.0,37.73,1.4477259531425422,0.63491_data (2).csv,,12.48886
5,7,7.0,37.11,1.2901773830177627,0.63491_data (2).csv,,14.456629999999999
6,8,8.0,37.27,1.3332708886135176,0.63491_data (2).csv,,14.6436
0,0,0.0,55.27,3.056013522059976,0.63491_data (3).csv,,1.28824
1,1,1.0,46.56,2.5283415931623483,0.63491_data (3).csv,,3.32672
2,2,2.0,41.77,2.046751054182645,0.63491_data (3).csv,,5.4885
3,3,3.0,39.38,1.6776019602287295,0.63491_data (3).csv,,7.43593
4,4,4.0,39.38,1.6776019602287295,0.63491_data (3).csv,,7.56493
5,5,5.0,37.56,1.2620637446577854,0.63491_data (3).csv,,9.57136
6,6,6.0,36.94,1.0690820549668876,0.63491_data (3).csv,,11.68039
7,7,7.0,37.01,1.092830462663778,0.63491_data (3).csv,,13.638570000000001
0,0,0.0,56.56,3.1259602049458253,0.63491_data (4).csv,,1.32318
1,1,1.0,46.1,2.5113667849959658,0.63491_data (4).csv,,3.37869
2,2,2.0,41.36,2.0257453300923958,0.63491_data (4).csv,,5.52471
3,3,3.0,39.18,1.686724780660432,0.63491_data (4).csv,,7.60635
4,4,4.0,37.68,1.3614276700745191,0.63491_data (4).csv,,9.669939999999999
5,5,5.0,37.68,1.3614276700745191,0.63491_data (4).csv,,9.7379
6,7,7.0,37.78,1.3867342026152176,0.63491_data (4).csv,,11.74187
7,8,8.0,36.8,1.1058393613385928,0.63491_data (4).csv,,13.644929999999999
